1,Exceed,vượt
2,regular,thường xuyên
3,desert,món tráng miệng
4,assure,đảm bảo
5,flexible,linh hoạt
6,preferable,phù hợp
7,collected,thu thập
8,materials,"tài liệu,vật liệu"
9,congestion,tắc nghẽn
10,manufactures,nhà sản xuất
11,investigators,điều tra viên
12,regulation,quy định
13,complied with,tuân theo
14,quantities,số lượng
15,opcupants,chiếm đóng
16,precaution,ngăn ngừa
17,risk,rủi ro
18,injury,thương tật
19,terminate,loại bỏ
20,exchange,trao đổi
21,compared,so sánh
22,previous,trước
23,retained,giữ lại
24,race,chủng tộc
25,mayor,thị trưởng
26,predicts,dự đoán
27,variety of,đa dạng
28,private,riêng tư
29,relocation,di dời
30,in advance,trước
31,effiency,hiệu quả
32,surface,bề mặt
33,reimbursement,hoàn trả
34,accompanied,đính kèm
35,receipt,chấp nhận
36,subtantial,đáng kể
37,suppose,giả sử
38,admit,thừa nhận
39,afford,có khả năng
40,corresponded,tương ứng
41,functioned,chức năng
42,enrolled,ghi danh
43,cooperation,hợp tác
44,allocation,phân công
45,separation,tách biệt
46,error,lỗi
47,disease,bệnh
48,implemented,thực hiện
49,immigration,người nhập cư
50,description,bản mô tả
51,compliment,khen ngợi
52,shortage,thiếu hụt
53,property,tài sản
54,dagame,thiệt hại
55,insurance,bảo hiểm
56,procedure,thủ tục
57,occasion,nhân dịp
58,attribute,cho rằng
59,primarily,chính
60,extensive,chuyên sâu
61,consumer,người tiêu dùng
62,persuade,thuyết phục
63,combine,kết hợp
64,estimate,ước tính
65,version,phiên bản
66,damage,hỏng hóc
67,caused,gây ra
68,overhead,vượt quá
69,explain,giải thích
70,opportunity,cơ hội
71,investors,nhà đầu tư
72,ingredients,thành phần
73,authoritative,ủy quyền
74,fluently,trôi chảy
75,efficency,hiệu quả
76,engines,động cơ
77,accumulation,tích lũy
78,copyright,bản quyền
79,impress,ấn tượng
80,landlord,chủ nhà
81,lease,"hợp đồng,thuê"
82,appeared,xuất hiện
83,invoice,hóa đơn
84,instructed,hướng dẫn
85,recognized,nhận dạng
86,collaborating,cộng tác
87,urban,thành thị
88,rural,nông thôn
89,standards,tiêu chuẩn
90,emergency,khẩn cấp
91,temperature,nhiệt độ
92,contemporary,hiện đại
93,sudden,đột ngột
94,reasonable,phù hợp
95,agency,đại lý cơ quan
96,primary,chính
97,security,bảo mật
98,laboratories,phòng thí nghiệm
99,identical,xác minh
100,satisfied,hài lòng
101,commute,việc đi lại
102,acknowledged,thừa nhận
103,specified,cụ thể
104,collapse,sụp đổ
105,regret,hối tiếc
106,retailer,nhà bán lẻ
107,maintenance,bảo trì
108,discovered,khám phá
109,resolved,giải quyết lại
110,invertigative,điều tra
111,susended,trì trệ
112,released,ra mắt
113,assemble,lắp ráp
114,real estate,bất động sản
115,broadcast,phát sống
116,consistently,liên tiếp
117,respectively,tương ứng
118,recorded,bản ghi âm
119,oversee,giám sát
120,praised,ca ngợi
121,interest,quan tâm
122,position,vị trí
123,enjoy,thích
124,interview,phỏng vấn
125,executive,giám đốc điều hành
126,review,xem xét
127,resume,sơ yếu lý lịch
128,decide,quyết định
129,notice,thông báo
130,contract,hợp đồng
131,apprximately,xấp xỉ
132,look forward,mong chờ
133,remind,nhắc lại
134,annual,hàng năm
135,held,tổ chức
136,provide,cung cấp
137,associate,hội viên
138,bring,"mang,vác"
139,sign up,đăng ký
140,celebrate,lễ kỷ niệm
141,achieve,thành tựu
142,retire,nghỉ hưu
143,responsible,chịu trách nhiệm
144,merger,sát nhập
145,contribute,đóng góp
146,human resource,nguồn nhân sự
147,additional,thêm
148,follow,theo dõi
149,special,đặc biệt
150,discount,giảm giá
151,arrange,sắp xếp
152,appointment,cuộc hẹn
153,staff,nhân viên
154,reduce,giảm giá
155,energy,năng lượng
156,advantage,lợi thế
157,perform,thực hiện
158,official,chính thức
159,instead of,thay vì
160,schedule,lịch trình
161,acount,tài khoản
162,department,"bộ phần,phòng ban"
163,change,thay đổi
164,determine,xác định
165,normal,bình thường
166,hardly,hiếm khi
167,weaknesses,điểm yếu
168,admire,ngưỡng
169,appropriate,thích hợp
170,preference,sở thích
171,collection,bộ sưu tập
