	word	translate
1	Exceed	v??t
2	regular	th??ng xuyên
3	desert	món tráng mi?ng
4	assure	??m b?o
5	flexible	linh ho?t
6	preferable	phù h?p
7	collected	thu th?p
8	materials	"tài li?u,v?t li?u"
9	congestion	t?c ngh?n
10	manufactures	nhà s?n xu?t
11	investigators	?i?u tra viên
12	regulation	quy ??nh
13	complied with	tuân theo
14	quantities	s? l??ng
15	opcupants	chi?m ?óng
16	precaution	ng?n ng?a
17	risk	r?i ro
18	injury	th??ng t?t
19	terminate	lo?i b?
20	exchange	trao ??i
21	compared	so sánh
22	previous	tr??c
23	retained	gi? l?i
24	race	ch?ng t?c
25	mayor	th? tr??ng
26	predicts	d? ?oán
27	variety of	?a d?ng
28	private	riêng t?
29	relocation	di d?i
30	in advance	tr??c
31	effiency	hi?u qu?
32	surface	b? m?t
33	reimbursement	hoàn tr?
34	accompanied	?ính kèm
35	receipt	ch?p nh?n
36	subtantial	?áng k?
37	suppose	gi? s?
38	admit	th?a nh?n
39	afford	có kh? n?ng
40	corresponded	t??ng ?ng
41	functioned	ch?c n?ng
42	enrolled	ghi danh
43	cooperation	h?p tác
44	allocation	phân công
45	separation	tách bi?t
46	error	l?i
47	disease	b?nh
48	implemented	th?c hi?n
49	immigration	ng??i nh?p c?
50	description	b?n mô t?
51	compliment	khen ng?i
52	shortage	thi?u h?t
53	property	tài s?n
54	dagame	thi?t h?i
55	insurance	b?o hi?m
56	procedure	th? t?c
57	occasion	nhân d?p
58	attribute	cho r?ng
59	primarily	chính
60	extensive	chuyên sâu
61	consumer	ng??i tiêu dùng
62	persuade	thuy?t ph?c
63	combine	k?t h?p
64	estimate	??c tính
65	version	phiên b?n
66	damage	h?ng hóc
67	caused	gây ra
68	overhead	v??t quá
69	explain	gi?i thích
70	opportunity	c? h?i
71	investors	nhà ??u t?
72	ingredients	thành ph?n
73	authoritative	?y quy?n
74	fluently	trôi ch?y
75	efficency	hi?u qu?
76	engines	??ng c?
77	accumulation	tích l?y
78	copyright	b?n quy?n
79	impress	?n t??ng
80	landlord	ch? nhà
81	lease	"h?p ??ng,thuê"
82	appeared	xu?t hi?n
83	invoice	hóa ??n
84	instructed	h??ng d?n
85	recognized	nh?n d?ng
86	collaborating	c?ng tác
87	urban	thành th?
88	rural	nông thôn
89	standards	tiêu chu?n
90	emergency	kh?n c?p
91	temperature	nhi?t ??
92	contemporary	hi?n ??i
93	sudden	??t ng?t
94	reasonable	phù h?p
95	agency	??i lý c? quan
96	primary	chính
97	security	b?o m?t
98	laboratories	phòng thí nghi?m
99	identical	xác minh
100	satisfied	hài lòng
101	commute	vi?c ?i l?i
102	acknowledged	th?a nh?n
103	specified	c? th?
104	collapse	s?p ??
105	regret	h?i ti?c
106	retailer	nhà bán l?
107	maintenance	b?o trì
108	discovered	khám phá
109	resolved	gi?i quy?t l?i
110	invertigative	?i?u tra
111	susended	trì tr?
112	released	ra m?t
113	assemble	l?p ráp
114	real estate	b?t ??ng s?n
115	broadcast	phát s?ng
116	consistently	liên ti?p
117	respectively	t??ng ?ng
118	recorded	b?n ghi âm
119	oversee	giám sát
120	praised	ca ng?i
121	interest	quan tâm
122	position	v? trí
123	enjoy	thích
124	interview	ph?ng v?n
125	executive	giám ??c ?i?u hành
126	review	xem xét
127	resume	s? y?u lý l?ch
128	decide	quy?t ??nh
129	notice	thông báo
130	contract	h?p ??ng
131	apprximately	x?p x?
132	look forward	mong ch?
133	remind	nh?c l?i
134	annual	hàng n?m
